query_id,timestamp,session_id,visitor_id,channel,language,visitor_type,visitor_origin,query_type,site_referenced,region_referenced,sentiment,response_time_seconds,resolved,is_emergency
QRY-002324,2026-06-03 12:11,SESS-000929,VIS-00930,text,French,foreign,Germany,pricing,Chez Wou & La Salsa,Centre,positive,3.6,True,False
QRY-004069,2026-06-03 12:48,SESS-001610,VIS-01611,voice_note,French,foreign,Chad,directions,Limbe Botanic Garden,South West,positive,2.1,True,False
QRY-004802,2026-06-03 13:21,SESS-001897,VIS-01898,text,French,foreign,Nigeria,booking_interest,L'Ovalie & La Fourchette,Littoral,positive,3.3,True,False
QRY-002097,2026-06-03 13:26,SESS-000833,VIS-00834,voice_note,Pidgin,domestic,Centre,directions,Chutes de la Lobe,South,positive,1.8,True,False
QRY-005744,2026-06-03 13:30,SESS-002295,VIS-02296,text,French,foreign,China,cultural_info,Bimbia Slave Trade Port,South West,neutral,2.9,True,False
QRY-001549,2026-06-03 14:00,SESS-000618,VIS-00619,text,English,domestic,West,pricing,Monument de la Reunification,Centre,positive,0.8,True,False
QRY-002636,2026-06-03 14:20,SESS-001044,VIS-01045,text,French,foreign,Germany,transport_fare,Monument de la Reunification,Centre,neutral,3.3,True,False
QRY-000197,2026-06-03 14:25,SESS-000091,VIS-00092,text,French,domestic,Centre,emergency_sos,Musee National de Yaounde,Centre,neutral,2.8,True,True
QRY-002796,2026-06-03 14:45,SESS-001101,VIS-01102,voice_note,English,domestic,Littoral,directions,Krystal Palace Douala,Littoral,neutral,5.4,True,False
QRY-005221,2026-06-03 15:09,SESS-002071,VIS-02072,voice_note,French,domestic,Centre,cultural_info,Monument de la Reunification,Centre,positive,3.6,True,False
QRY-003452,2026-06-03 15:12,SESS-001376,VIS-01377,text,English,domestic,South,general_chat,,Centre,positive,2.9,True,False
QRY-002053,2026-06-03 15:16,SESS-000818,VIS-00819,text,English,domestic,West,emergency_sos,Palais Royal de Foumban & Museum,West,negative,2.3,True,True
QRY-001991,2026-06-03 15:16,SESS-000790,VIS-00791,voice_note,French,foreign,China,booking_interest,Limbe Wildlife Centre,South West,neutral,3.3,True,False
QRY-002397,2026-06-03 15:59,SESS-000959,VIS-00960,text,French,domestic,Littoral,general_chat,,Adamawa,neutral,2.9,True,False
QRY-000188,2026-06-03 16:33,SESS-000085,VIS-00086,text,English,domestic,South West,opening_hours,Limbe Botanic Garden,South West,neutral,4.9,False,False
QRY-004880,2026-06-03 16:40,SESS-001930,VIS-01931,voice_note,English,domestic,North West,transport_fare,Down Beach Roasted Fish Sheds,South West,positive,1.6,True,False
QRY-004647,2026-06-03 16:49,SESS-001836,VIS-01837,text,French,foreign,Belgium,cultural_info,FINI Hotel Bobende,South West,positive,4.3,True,False
QRY-000965,2026-06-03 16:53,SESS-000381,VIS-00382,voice_note,English,domestic,West,transport_fare,Chez Carimo / Lobe Shacks,South,negative,3.4,True,False
QRY-001986,2026-06-03 17:05,SESS-000789,VIS-00790,voice_note,French,domestic,Centre,cultural_info,Chutes de la Lobe,South,positive,1.4,True,False
QRY-000597,2026-06-03 17:26,SESS-000250,VIS-00251,text,French,domestic,Far North,opening_hours,Monument de la Reunification,Centre,positive,3.4,True,False
QRY-004196,2026-06-03 17:44,SESS-001660,VIS-01661,text,French,domestic,Centre,pricing,Marche Sandaga & Deido Soya,Littoral,positive,2.7,True,False
QRY-001632,2026-06-03 17:44,SESS-000649,VIS-00650,text,French,domestic,East,opening_hours,Chez Wou & La Salsa,Centre,positive,2.2,True,False
QRY-003498,2026-06-03 19:07,SESS-001395,VIS-01396,text,French,foreign,Gabon,transport_fare,Hotel Zingana,West,positive,3.1,True,False
QRY-006131,2026-06-03 20:14,SESS-002444,VIS-02445,text,French,domestic,Adamawa,opening_hours,Down Beach & Batoke Beach,South West,neutral,2.5,True,False
QRY-001684,2026-06-03 20:16,SESS-000674,VIS-00675,text,English,domestic,Far North,opening_hours,Rue des Artisans,West,positive,5.2,True,False
QRY-002528,2026-06-03 20:24,SESS-001007,VIS-01008,text,Pidgin,domestic,South,pricing,West Region Gastronomy Spots,West,neutral,5.5,True,False
QRY-001560,2026-06-03 20:40,SESS-000621,VIS-00622,text,French,foreign,Gabon,general_chat,,South West,neutral,4.4,True,False
QRY-001691,2026-06-03 21:27,SESS-000676,VIS-00677,voice_note,English,foreign,Belgium,cultural_info,Marche Sandaga & Deido Soya,Littoral,negative,4.0,True,False
QRY-005132,2026-06-03 21:48,SESS-002028,VIS-02029,text,English,foreign,Nigeria,pricing,FINI Hotel Bobende,South West,neutral,2.2,True,False
QRY-003098,2026-06-03 22:07,SESS-001233,VIS-01234,voice_note,Pidgin,foreign,Equatorial Guinea,directions,Chutes d'Ekom Nkam,Littoral,positive,4.0,True,False
QRY-006065,2026-06-03 22:08,SESS-002418,VIS-02419,text,English,domestic,North West,booking_interest,Pullman Douala Rabingha,Littoral,positive,3.2,True,False
QRY-004403,2026-06-03 22:28,SESS-001733,VIS-01734,voice_note,Pidgin,domestic,Littoral,cultural_info,Artisanal Village & Flower Market,Littoral,positive,3.5,True,False
QRY-002758,2026-06-03 22:54,SESS-001089,VIS-01090,text,Pidgin,domestic,North West,directions,Pullman Douala Rabingha,Littoral,positive,2.6,True,False
QRY-000649,2026-06-04 06:41,SESS-000266,VIS-00267,voice_note,French,foreign,Chad,transport_fare,Artisanal Village & Flower Market,Littoral,positive,2.4,True,False
QRY-005646,2026-06-04 06:44,SESS-002252,VIS-02253,voice_note,English,domestic,South,transport_fare,Seme Beach Hotel,South West,neutral,3.2,True,False
QRY-004625,2026-06-04 07:10,SESS-001827,VIS-01828,voice_note,French,foreign,Chad,directions,FINI Hotel Bobende,South West,neutral,3.8,True,False
QRY-002496,2026-06-04 07:18,SESS-000997,VIS-00998,text,French,domestic,South,pricing,Down Beach & Batoke Beach,South West,positive,2.0,True,False
QRY-005516,2026-06-04 07:57,SESS-002195,VIS-02196,text,French,domestic,West,pricing,Musee Maritime de Douala,Littoral,neutral,4.4,True,False
QRY-001082,2026-06-04 08:09,SESS-000426,VIS-00427,text,French,domestic,West,cultural_info,West Region Gastronomy Spots,West,neutral,2.8,True,False
QRY-003389,2026-06-04 08:10,SESS-001354,VIS-01355,voice_note,Pidgin,domestic,South West,cultural_info,Artisanal Village & Flower Market,Littoral,positive,2.7,True,False
QRY-000099,2026-06-04 08:12,SESS-000046,VIS-00047,text,English,domestic,South,opening_hours,Mefou Primate Sanctuary,Centre,neutral,1.9,True,False
QRY-000873,2026-06-04 08:26,SESS-000343,VIS-00344,text,French,domestic,Adamawa,opening_hours,Hilton Yaounde,Centre,neutral,0.9,True,False
QRY-004425,2026-06-04 08:59,SESS-001740,VIS-01741,text,French,domestic,North West,pricing,Marche Sandaga & Deido Soya,Littoral,positive,3.0,True,False
QRY-001037,2026-06-04 09:03,SESS-000411,VIS-00412,text,French,foreign,France,general_chat,,South,neutral,1.8,True,False
QRY-000236,2026-06-04 09:54,SESS-000109,VIS-00110,text,English,domestic,West,pricing,Limbe Wildlife Centre,South West,neutral,2.8,True,False
QRY-002472,2026-06-04 09:58,SESS-000989,VIS-00990,voice_note,English,domestic,Littoral,pricing,Hotel Ilomba,South,positive,2.7,True,False
QRY-004222,2026-06-04 10:01,SESS-001668,VIS-01669,voice_note,Pidgin,domestic,West,opening_hours,Rue des Artisans,West,positive,2.8,True,False
QRY-003276,2026-06-04 10:06,SESS-001309,VIS-01310,voice_note,English,domestic,Littoral,general_chat,,South West,neutral,4.2,True,False
QRY-004206,2026-06-04 10:24,SESS-001664,VIS-01665,text,French,foreign,Canada,cultural_info,Limbe Wildlife Centre,South West,negative,2.3,True,False
QRY-000097,2026-06-04 10:43,SESS-000044,VIS-00045,voice_note,Pidgin,foreign,South Africa,opening_hours,Pullman Douala Rabingha,Littoral,neutral,2.5,True,False
QRY-004730,2026-06-04 11:16,SESS-001870,VIS-01871,voice_note,English,domestic,North,directions,Limbe Botanic Garden,South West,positive,4.3,True,False
QRY-002125,2026-06-04 11:45,SESS-000845,VIS-00846,text,English,foreign,Germany,transport_fare,Musee Maritime de Douala,Littoral,positive,4.5,True,False
QRY-001756,2026-06-04 12:11,SESS-000700,VIS-00701,text,French,domestic,South,cultural_info,Musee Maritime de Douala,Littoral,positive,2.7,True,False
QRY-000340,2026-06-04 12:56,SESS-000151,VIS-00152,text,English,foreign,Chad,booking_interest,Chez Wou & La Salsa,Centre,positive,3.2,True,False
